hour,y
0,0.6650860429872176
1,0.546521644040827
2,0.48859671509525976
3,0.4533394195491993
4,0.45227261498975285
5,0.46208565865136797
6,0.7955168746802331
7,1.4964152329557332
8,1.4557006738036014
9,1.328280843522446
10,1.2586572727363698
11,1.2445163130179888
12,1.2058607993230843
13,1.144371681263545
14,1.0841842539064266
15,0.9945548387813182
16,0.9532564984968068
17,1.0591779309173146
18,1.3265218814932649
19,1.7272437278328219
20,1.8912479464717882
21,1.8693670730764604
22,1.410200661579174
23,0.9050580235314135
