model,window,mae,rmse,mape,smape,mase
hist_gradient_boosting,1,0.32188527811917433,0.4117596118798051,29.017655819204652,28.3885193225833,0.5034806508207536
hist_gradient_boosting,2,0.4929347720159581,0.6004416795403679,90.40116345352548,52.88617892238064,0.7712673846959706
hist_gradient_boosting,3,0.3159235849665441,0.4183909505755388,34.766196612698124,30.338460058362003,0.4943846949234778
mlp_deep,1,0.3086917078172242,0.413029914053575,29.473336068458657,26.238049562431414,0.4828437723617896
mlp_deep,2,0.33314304086309193,0.38326183635690503,62.13238056069058,43.8914866535393,0.5212502270945933
mlp_deep,3,0.3074562177310882,0.3777648246589032,34.10909296768044,30.745714784675044,0.48113422244625137
mlp_medium,1,0.28153439826322585,0.34310765338981375,28.07592032133221,25.111628568045198,0.4403653466050036
mlp_medium,2,0.3376446337454044,0.4224397787925706,49.93719014357747,38.67507324832016,0.5282936169433312
mlp_medium,3,0.3251762478063544,0.3937042015445125,29.548970562385307,30.97609296173596,0.5088640662428867
mlp_small,1,0.29159966147981115,0.3859205712102995,25.40484525764237,24.068152459219107,0.4561090466728654
mlp_small,2,0.40732154996196585,0.4706734404553483,75.39385323916994,48.13651120918049,0.6373131789520099
mlp_small,3,0.27897021309159103,0.3494531193023012,33.66567019029887,28.746357731721705,0.4365568455632372
random_forest,1,0.3311237361426113,0.41691396396017205,30.152829934766608,28.591539244742204,0.5179310938027968
random_forest,2,0.40148336250156264,0.48748093875028475,76.20594094780176,47.74843846637558,0.6281784945483618
random_forest,3,0.2908846288918943,0.38443202841949237,37.68755966678651,30.695883774943518,0.45520155935137735
ridge_regression,1,0.36876697602654684,0.5201153142686924,30.635277941044333,32.033820885850176,0.5768112110498758
ridge_regression,2,0.5605158456451332,0.6604471785150475,104.0097154714022,58.92796387034106,0.8770076993825399
ridge_regression,3,0.28741552794529796,0.4052615652219558,26.871791407815643,26.09632136560486,0.4497728085560754
